Track_Name,Artist_Name,Album_Name,Album_Artist_Name,Album_Release_Date,Album_Release_Year,Disc_Number,Track_Number,Track_Duration_Milliseconds,Track_Duration_Seconds,Track_Duration_Minutes,Explicit,Popularity,Artist_Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time_Signature,Language
Azhagendra Sollukku - Original,T. M. Soundararajan,Divine Collections Saravana Bhavane,Sujatha,01-12-2009,2009,1,6,348146,348.146,5.802433333,FALSE,0,"classic kollywood,filmi",0.55,0.414,4,-11.887,0,0.0556,0.557,0,0.205,0.782,90.378,3,Tamil
Thenpazhani Devanadi Kannamma,A. R. Ramani Ammal,"Tamil Basic Devotional Songs, Vol. 1 & 2",Various Artists,31-12-1972,1972,1,21,179440,179.44,2.990666667,FALSE,1,tamil devotional,0.545,0.425,11,-10.975,1,0.101,0.986,0.00604,0.282,0.854,173.573,3,Tamil
Neengal Varume,A. R. Ramani Ammal,Bangalore A. R. Ramani Ammal,A. R. Ramani Ammal,01-12-1989,1989,1,14,334253,334.253,5.570883333,FALSE,9,tamil devotional,0.547,0.342,1,-13.624,1,0.0814,0.979,0.308,0.176,0.945,178.14,3,Tamil
Aadumayile,A. R. Ramani Ammal,A. R. Ramani Ammal - The Songs,A. R. Ramani Ammal,31-12-2004,2004,1,10,212466,212.466,3.5411,FALSE,7,tamil devotional,0.536,0.421,5,-15.093,0,0.131,0.992,0.831,0.144,0.966,187.792,4,Tamil
Muruga Muruga,A. R. Ramani Ammal,Bangalore A. R. Ramani Ammal,A. R. Ramani Ammal,01-12-1989,1989,1,5,202733,202.733,3.378883333,FALSE,9,tamil devotional,0.745,0.367,5,-13.269,0,0.137,0.975,0.532,0.255,0.944,89.824,4,Tamil
Shiva Tandava Stotram,Uma Mohan,Divine Chants of Shiva,Uma Mohan,15-02-2013,2013,1,8,397779,397.779,6.62965,FALSE,38,"kirtan,mantra",0.639,0.45,2,-10.094,1,0.0916,0.403,0,0.0963,0.37,107.557,3,Tamil
Kurai Ondrum Illai,Haricharan,Greatest Krishna Songs of South India,Various Artists,28-07-2015,2015,1,4,335000,335,5.583333333,FALSE,3,"filmi,tamil pop",0.698,0.488,2,-9.034,0,0.0403,0.585,1.27E-06,0.0937,0.521,79.967,4,Tamil
Raghupati Raghav Raja Ram,Shankar Mahadevan,Devotional Hits - Shankar Mahadevan,Shankar Mahadevan,29-12-2014,2014,1,6,550360,550.36,9.172666667,FALSE,21,"desi hip hop,desi pop,filmi,modern bollywood",0.482,0.65,1,-7.635,1,0.0518,0.473,0,0.0794,0.424,109.983,4,Tamil
Ganesha Pancharathnam,Saindhavi,Sriman Narayana,Saindhavi,20-06-2006,2006,3,1,251376,251.376,4.1896,FALSE,15,"filmi,tamil pop",0.779,0.498,6,-9.256,1,0.0399,0.434,0,0.252,0.823,85.923,4,Tamil
Shree Ganeshay Dheemahi,Ajay-Atul,Ganesha Symphonic Chants Experience,Ajay-Atul,2001,2001,1,3,407706,407.706,6.7951,FALSE,45,"desi hip hop,desi pop,filmi,modern bollywood",0.61,0.293,6,-15.063,0,0.0331,0.728,0,0.102,0.512,139.832,4,Tamil
Kandhasashti Kavacham,S. P. Balasubrahmanyam,Thai Pusam Special,Various Artists,15-01-2018,2018,1,1,1340689,1340.689,22.34481667,FALSE,3,filmi,0.865,0.58,9,-8.46,0,0.0379,0.226,0.00276,0.107,0.606,115.993,4,Tamil
