Track_Name,Artist_Name,Album_Name,Album_Artist_Name,Album_Release_Date,Album_Release_Year,Disc_Number,Track_Number,Track_Duration_Milliseconds,Track_Duration_Seconds,Track_Duration_Minutes,Explicit,Popularity,Artist_Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time_Signature,Language
Tatti Vaho,Bhai Joginder Singh Ji Riar,Mithe Har Gun Gao,Bhai Joginder Singh Ji Riar,14-07-2020,2020,1,6,498956,498.956,8.315933333,FALSE,34,shabad,0.498,0.845,11,-5.263,0,0.0422,0.486,0,0.193,0.836,159.373,4,Punjabi
Wah Guru,Happy Raikoti,Wah Guru,Happy Raikoti,21-12-2020,2020,1,1,215990,215.99,3.599833333,FALSE,44,"desi pop,punjabi pop",0.715,0.653,2,-6.999,1,0.07,0.696,0,0.0977,0.587,139.99,4,Punjabi
Guru Nanak,Veet Baljit,Guru Nanak,Veet Baljit,17-11-2021,2021,1,1,228000,228,3.8,FALSE,16,punjabi pop,0.605,0.706,6,-4.803,1,0.0558,0.651,0,0.0992,0.47,174.164,4,Punjabi
Guru Nanak,Gurshabad,Guru Nanak,Gurshabad,18-11-2021,2021,1,1,302608,302.608,5.043466667,FALSE,11,punjabi pop,0.682,0.235,11,-13.711,1,0.0312,0.809,0.000429,0.115,0.133,114.985,1,Punjabi
Tevar E Gobind.wav,Kambi,Tevar E Gobind,Kambi,05-06-2019,2019,1,1,172454,172.454,2.874233333,FALSE,33,"desi pop,punjabi pop",0.494,0.813,0,-2.112,1,0.212,0.00175,0.000687,0.354,0.368,78.488,4,Punjabi
Santan Di Tasveer,Dhadi Tarsem Singh Moranwali,Santan Di Tasveer,Dhadi Tarsem Singh Moranwali,23-05-2018,2018,1,1,375319,375.319,6.255316667,FALSE,44,Unknown,0.798,0.797,2,-1.708,1,0.146,0.147,0,0.092,0.476,125.272,5,Punjabi
Sher Sardar,Nirvair Pannu,Sher Sardar,Nirvair Pannu,28-12-2019,2019,1,1,163708,163.708,2.728466667,FALSE,37,"desi pop,punjabi pop",0.707,0.704,8,-4.218,1,0.287,0.0908,0,0.431,0.512,150.974,4,Punjabi
Khalsa (Baani Te Baanaa),Kanwar Grewal,Khalsa (Baani Te Baanaa),Kanwar Grewal,14-04-2017,2017,1,1,374634,374.634,6.2439,FALSE,30,punjabi pop,0.595,0.717,10,-6.145,0,0.0528,0.603,0.000349,0.0802,0.388,81.431,4,Punjabi
Ik Onkar Satnam,Harshdeep Kaur,Ik Onkar Shabad Gurbani Kirtan,Harshdeep Kaur,30-11-2018,2018,1,1,104724,104.724,1.7454,FALSE,36,"desi pop,filmi,modern bollywood,sufi",0.403,0.0886,2,-14.226,1,0.0505,0.986,2.96E-06,0.151,0.109,85.948,5,Punjabi
Salok Mohalla Nauvan,Bhai Harjinder Singh,Salok Mohalla Nauvan Vol-27,Bhai Harjinder Singh,29-12-1998,1998,1,1,2642840,2642.84,44.04733333,FALSE,26,shabad,0.464,0.382,5,-10.176,1,0.0391,0.883,0.12,0.133,0.57,148.385,1,Punjabi
Gobind Hum Aise Apradhi,Bhai Sarabjit Singh Ji (Hazoori Ragi Sri Darbar Sahib Amritsar),Hum Aise Apradhi,Bhai Sarabjeet Singh,28-08-2001,2001,1,1,796253,796.253,13.27088333,FALSE,30,shabad,0.493,0.416,0,-14.589,0,0.0349,0.887,0.0598,0.171,0.582,138.652,4,Punjabi
Bin Boleyan,Bhai Maninder Singh Ji,"100 Shabad, Vol. 2",Bhai Maninder Singh Ji,2013,2013,1,1,423792,423.792,7.0632,FALSE,24,shabad,0.577,0.582,5,-7.79,0,0.0516,0.552,0.00118,0.108,0.892,128.351,4,Punjabi
Bhagtan Ki Tek Tu Santa Ki Oat Tu,"Bhai Maninder Singh (Hazoori Ragi Sri Darbar Sahib, Amritsar)",Kirpa Karoh,"Bhai Maninder Singh (Hazoori Ragi Sri Darbar Sahib, Amritsar)",02-12-2011,2011,1,4,623806,623.806,10.39676667,FALSE,5,Unknown,0.512,0.597,10,-7.062,1,0.0664,0.55,0.00013,0.169,0.731,137.651,4,Punjabi
Tu Santa Ka Sant Tere,Bhai Charanjit Singh Ji Ludhiana Wale,Tu Santa Ka Sant Tere,Bhai Charanjit Singh Ji Ludhiana Wale,28-01-2008,2008,1,1,634514,634.514,10.57523333,FALSE,1,Unknown,0.659,0.797,11,-2.377,0,0.0305,0.575,0,0.192,0.743,124.053,4,Punjabi
Satgur Ki Sewa Safal Hai,Bhai Jujhar Singh Ji,Satgur Ki Sewa Safal Hai,Bhai Jujhar Singh Ji,05-10-2021,2021,1,1,395116,395.116,6.585266667,FALSE,6,Unknown,0.491,0.925,5,-3.157,1,0.0651,0.372,0.581,0.428,0.944,137.438,4,Punjabi
