Track_Name,Artist_Name,Album_Name,Album_Artist_Name,Album_Release_Date,Album_Release_Year,Disc_Number,Track_Number,Track_Duration_Milliseconds,Track_Duration_Seconds,Track_Duration_Minutes,Explicit,Popularity,Artist_Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time_Signature,Language
Hare Krishna Hare Krishna - Muqaddar Ki Baat / Soundtrack Version,"Mahendra Kapoor, Pushpa Paghdare",Muqaddar Ki Baat,Various Artists,01-01-2006,2006,1,4,317586,317.586,5.2931,FALSE,1,"classic bollywood,filmi,ghazal",0.291,0.387,2,-12.082,0,0.0311,0.908,0.000651,0.408,0.484,108.058,1,Hindi
"Jai Jai Shri Yamuna by Alka Yagnik (From ""Jai Jai Shri Yamuna by Alka Yagnik - Zee Music Devotional"")","Alka Yagnik, Sanjeev - Ajay","Jai Jai Shri Yamuna by Alka Yagnik (From ""Jai Jai Shri Yamuna by Alka Yagnik - Zee Music Devotional"")","Alka Yagnik, Sanjeev - Ajay",21-04-2021,2021,1,1,362105,362.105,6.035083333,FALSE,3,"classic bollywood,desi pop,filmi,modern bollywood",0.387,0.615,3,-3.886,1,0.0398,0.754,0,0.317,0.524,179.919,4,Hindi
"Mere Adhro Par, Radha Krishna Bhajan",Kavita Krishnamurthy,"Mere Adhro Par, Radha Krishna Bhajan",Kavita Krishnamurthy,14-04-2021,2021,1,1,373500,373.5,6.225,FALSE,1,"classic bollywood,desi pop,filmi,modern bollywood",0.633,0.737,6,-5.373,0,0.0437,0.626,0,0.74,0.829,138.061,3,Hindi
Tere Naam Humnein Kiya Hai Ganga Maiya,"Sandeep Kapoor, Anamika Singh",Papa Kara Do Ganga Darshan,"Sandeep Kapoor, Anamika Singh",04-01-2013,2013,1,6,334900,334.9,5.581666667,FALSE,8,Unknown,0.693,0.796,4,-6.457,1,0.0548,0.484,1.14E-05,0.16,0.834,88.009,4,Hindi
Paawan Sangam Teere,"Sandeep Kapoor, Anamika Singh",Papa Kara Do Ganga Darshan,"Sandeep Kapoor, Anamika Singh",04-01-2013,2013,1,1,419332,419.332,6.988866667,FALSE,2,Unknown,0.494,0.878,9,-3.269,1,0.073,0.67,0,0.326,0.677,78.908,4,Hindi
Papa Kahte Hain Allahabad Chalega,Sandeep Kapoor,Papa Kara Do Ganga Darshan,"Sandeep Kapoor, Anamika Singh",04-01-2013,2013,1,2,306956,306.956,5.115933333,FALSE,1,Unknown,0.7,0.774,0,-6.819,1,0.0369,0.069,1.07E-06,0.281,0.591,90.9,4,Hindi
Ganga Maiya Haal Tumko,"Sandeep Kapoor, Anamika Singh",Papa Kara Do Ganga Darshan,"Sandeep Kapoor, Anamika Singh",04-01-2013,2013,1,3,442530,442.53,7.3755,FALSE,2,Unknown,0.529,0.788,1,-4.636,1,0.0491,0.77,1.27E-06,0.217,0.754,101.252,4,Hindi
Tumhare Maa Charno Ke Chakar Banege,"Sandeep Kapoor, Anamika Singh",Papa Kara Do Ganga Darshan,"Sandeep Kapoor, Anamika Singh",04-01-2013,2013,1,4,293063,293.063,4.884383333,FALSE,3,Unknown,0.6,0.777,0,-6.76,0,0.0495,0.542,2.61E-05,0.0469,0.868,80.971,4,Hindi
Pryag Chal Tu Aaja,"Sandeep Kapoor, Anamika Singh",Papa Kara Do Ganga Darshan,"Sandeep Kapoor, Anamika Singh",04-01-2013,2013,1,5,429122,429.122,7.152033333,FALSE,1,Unknown,0.443,0.799,5,-3.847,0,0.0427,0.636,0,0.0962,0.615,89.849,4,Hindi
Pal Pal Hai Bhaari,"Madhushree, Vijay Prakash, Ashutosh Gowariker",Swades,A.R. Rahman,24-09-2004,2004,1,6,408306,408.306,6.8051,FALSE,40,"filmi,filmi",0.636,0.627,2,-8.29,1,0.0537,0.572,0,0.156,0.614,99.985,4,Hindi
